(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, Callback type 16 not used
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, Callback type 17 not used
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, Callback type 11 not used
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, Callback type 15 not used
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Callback type 7 not used
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, MiniDump completed: C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Log\Polybase\dump\SQLDmpr.00000001D772F644.GMT-2023-11-05-07-00-00.dmp
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total Buffer pool data pages filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total Hekaton data pages filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total Free memory (from non top level allocators) filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total top level free memory filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total Log pool memory filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Should columnstore object pool be included in filtered dump= 0
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Should columnstore blob cache be included in filtered dump= 0
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total columnstore object pool memory filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total columnstore blob cache filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total pages filtered out by bitmap: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Total file mapped memory filtered out: 0 KB
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Location of module 'dbghelp.dll' : 'C:\WINDOWS\SYSTEM32\dbghelp.dll'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, File version of module 'C:\WINDOWS\SYSTEM32\dbghelp.dll' : '6.2:22621.2506'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Product version of module 'C:\WINDOWS\SYSTEM32\dbghelp.dll' : '10.0:22621.2506'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Location of module 'sqldumper.exe' : 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, File version of module 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE' : '2019.150:2000.5'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Product version of module 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE' : '15.0:2000.5'
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Creating WER report...
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Created the report.
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(64C:4720) 11/05/23 12:39:08, ACTION,               mpdwsvc.exe, Submitting WER report...
(64C:4720) 11/05/23 12:39:18, ACTION,               mpdwsvc.exe, Submitted report synchronously.
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 15576
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 15576
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(50DC:48FC) 11/05/23 12:39:32, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(50DC:48FC) 11/05/23 12:39:32, ERROR ,               mpdwsvc.exe, String at 0000029D81D39FE0 was not NULL terminated
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Not creating an additional dump, because dump for stack signature 00000001D772F644 already exists.
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Creating WER report...
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Created the report.
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(50DC:48FC) 11/05/23 12:39:32, ACTION,               mpdwsvc.exe, Submitting WER report...
(50DC:48FC) 11/05/23 12:39:44, ACTION,               mpdwsvc.exe, Submitted report synchronously.
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 15576
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 15576
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(3FB8:1AC0) 11/05/23 12:39:59, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Not creating an additional dump, because dump for stack signature 00000001D772F644 already exists.
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Creating WER report...
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Created the report.
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(3FB8:1AC0) 11/05/23 12:39:59, ACTION,               mpdwsvc.exe, Submitting WER report...
(3FB8:1AC0) 11/05/23 12:40:02, ACTION,               mpdwsvc.exe, Submitted report synchronously.
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 16356
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 16356
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(5990:4A0) 11/05/23 12:50:10, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(5990:4A0) 11/05/23 12:50:10, ERROR ,               mpdwsvc.exe, String at 000001A902C6D050 was not NULL terminated
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Remote process didn't specify a dump file name
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, MINIDUMP_TYPE: 0x21966
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Callback type 16 not used
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Callback type 17 not used
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Callback type 11 not used
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Callback type 15 not used
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Callback type 7 not used
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, MiniDump completed: C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Log\Polybase\dump\SQLDmpr.00000001D772F2B4.GMT-2023-11-05-07-00-00.dmp
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total Buffer pool data pages filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total Hekaton data pages filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total Free memory (from non top level allocators) filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total top level free memory filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total Log pool memory filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Should columnstore object pool be included in filtered dump= 0
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Should columnstore blob cache be included in filtered dump= 0
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total columnstore object pool memory filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total columnstore blob cache filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total pages filtered out by bitmap: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Total file mapped memory filtered out: 0 KB
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Location of module 'dbghelp.dll' : 'C:\WINDOWS\SYSTEM32\dbghelp.dll'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, File version of module 'C:\WINDOWS\SYSTEM32\dbghelp.dll' : '6.2:22621.2506'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Product version of module 'C:\WINDOWS\SYSTEM32\dbghelp.dll' : '10.0:22621.2506'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Location of module 'sqldumper.exe' : 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, File version of module 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE' : '2019.150:2000.5'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Product version of module 'C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER2019\MSSQL\Binn\Polybase\SQLDUMPER.EXE' : '15.0:2000.5'
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(5990:4A0) 11/05/23 12:50:10, ACTION,               mpdwsvc.exe, Creating WER report...
(5990:4A0) 11/05/23 12:50:11, ACTION,               mpdwsvc.exe, Created the report.
(5990:4A0) 11/05/23 12:50:11, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(5990:4A0) 11/05/23 12:50:11, ACTION,               mpdwsvc.exe, Submitting WER report...
(5990:4A0) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Submitted report synchronously.
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 16356
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 16356
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(2F20:2384) 11/05/23 12:50:13, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Not creating an additional dump, because dump for stack signature 00000001D772F2B4 already exists.
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Creating WER report...
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Created the report.
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(2F20:2384) 11/05/23 12:50:13, ACTION,               mpdwsvc.exe, Submitting WER report...
(2F20:2384) 11/05/23 12:50:16, ACTION,               mpdwsvc.exe, Submitted report synchronously.
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 16356
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 16356
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(4F28:411C) 11/05/23 12:50:31, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Not creating an additional dump, because dump for stack signature 00000001D772F2B4 already exists.
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Send_To_Watson flag is set to true
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Force_Watson flag is set to true
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Watson Invoke: Yes
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Creating WER report...
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Created the report.
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, WerReportAddFile Mini Dump succeeded.
(4F28:411C) 11/05/23 12:50:31, ACTION,               mpdwsvc.exe, Submitting WER report...
(4F28:411C) 11/05/23 12:50:34, ACTION,               mpdwsvc.exe, Submitted report synchronously.
